"@timestamp","user.name","source.ip","source.geo.country_name","host.hostname","event.action","event.outcome","event.category","suricata.eve.event_type","related.ip","related.user","related.hash","process.name","process.command_line","destination.ip","network.protocol","destination.address","http.request.method","http.response.status_code","suricata.eve.http.http_content_type","url.query","url.domain","url.original"
"Aug 5, 2026 @ 03:34:03.355","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:03.189","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:03.167","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:03.167","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:03.129","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.263","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.263","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.263","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.263","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.260","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.260","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.260","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.252","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.252","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.252","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:02.250","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
